WellID,BVHH,NioGOR,CodGOR,LateralLength,ProppantPerFoot,FluidPerFoot,LeftDistance,RightDistance,TVD,NormalizedOilEUR,NormalizedGasEUR,LeftNeighbourType_Codeveloped,LeftNeighbourType_NoNeighbour,LeftNeighbourType_Parent,RightNeighbourType_Codeveloped,RightNeighbourType_NoNeighbour,RightNeighbourType_Parent,FormationAlias_CODELL
512348629,-0.5716845311766527,-0.442299454906255,-0.548234747552647,0.2359022860274003,1.241447653478183,2.8862918974720326,,,-0.4917291981457092,1.4296797110606418,0.19514109709030178,0.0,1.0,0.0,0.0,1.0,0.0,0.0
512343446,0.40763361453350216,-0.5522071073423775,-0.6273261568786481,1.0822959648557045,-0.020974724932139956,-0.15147883272437113,-0.5628601467825863,-0.554296688774311,0.5128559876079374,-0.9304532750819252,-0.28150590305851997,1.0,0.0,0.0,1.0,0.0,0.0,0.0
512338696,0.8149571835836945,-0.3675471430432975,-0.6586270380483721,-1.0193681254494835,-0.07959927939595955,-0.43537438506977305,,-0.36805670596448514,-0.4160066967069921,-0.4908626901197571,-0.7258629727050011,0.0,1.0,0.0,1.0,0.0,0.0,0.0
512347436,-0.3864010045278488,5.388170920829081,5.637608840249878,1.1079214190677813,-0.18153294041930426,-0.9439508027281823,-0.5870088298578039,-0.5694557571425527,0.20491781509048793,-0.8825179540030192,3.0534854940775684,1.0,0.0,0.0,1.0,0.0,0.0,0.0
501420754,0.6294196368153417,-0.43966939491801954,-0.5675219701195101,2.0594548291485775,-0.5327962094975105,-0.7985676749038,0.1484283365238234,0.15601394333758298,2.3150515218494037,0.9850729520344893,0.10614934888973224,1.0,0.0,0.0,1.0,0.0,0.0,1.0
512338337,-0.613186613251089,-0.37469108586946986,-0.3564079832743842,-0.5829817140144096,-0.828008333296403,-0.29259815963059915,0.7828801009545406,,0.9066129950892662,1.4861912284676324,1.2788637927340878,1.0,0.0,0.0,0.0,1.0,0.0,1.0
512348634,0.08694283272059353,-0.31118716814171504,-0.30194148766622947,1.3766118433797052,2.014764212998542,1.9259953262089349,-0.23136458820459904,-0.2868474111346192,-0.6600014235650805,1.9592281389099744,0.8757402559426393,1.0,0.0,0.0,1.0,0.0,0.0,0.0
512347673,0.08859455527463322,0.24735905865175278,-0.3310340826647591,0.9929837200283188,-0.14207200031496758,1.4799583796886837,-0.6616502139084766,-0.5153162272559754,1.2095030008441345,-0.5030218339789286,0.8139152181847848,1.0,0.0,0.0,1.0,0.0,0.0,0.0
512334452,2.1725692341035985,0.7338668295278447,1.7760239059662017,-1.0457472694913275,-1.3393993150289545,-1.2348585375345458,-0.23246225561710895,-0.27926787695049843,0.2419377046827496,1.4435934660964072,0.6271378208456994,1.0,0.0,0.0,1.0,0.0,0.0,0.0
512336482,0.4867074622104762,-0.3324087627538276,-0.4249608499616509,-0.9809299441313682,-0.33893513216825616,-0.8808554553469866,,-0.08977952234747791,-0.1282611912398672,-0.18828575262572847,-0.5099208258985416,0.0,1.0,0.0,1.0,0.0,0.0,0.0
